"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer Part Number","Manufacturer"
"BT1","1","Battery","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","61300211121","Würth Elektronik"
"C1,C4","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~","GRM21BR71H104KA01L","Murata Electronics"
"C2","1","100 μF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","293D107X9010C2TE3","  VISHAY "
"C3","1","220 μF 35 V","","","","Capacitor_SMD:CP_Elec_8x5.4","~","RD1A227M05011BB ","SAMWHA "
"C6,C8","2","220μF","","","","Capacitor_SMD:CP_Elec_8x5.4","~","UWX0J221MCL1GB","Nichicon"
"D1,D2,D3,D4,D5","5","LED","","","","LED_SMD:LED_0805_2012Metric","~","APT2012VW1F,APT2012YC,KPT-2012SURCK","Kingbright"
"D6","1","D_Photo_Filled","","","","OptoDevice:Osram_BPW34S-SMD","~","BPW 34 S","OSRAM Opto Semiconductors"
"D7","1","SS34","","","","Diode_SMD:D_0805_2012Metric","~","SS34","  onsemi"
"D8,D9,D12,D13","4","D_Zener_Filled","","","","Diode_SMD:D_0805_2012Metric","~","CD4148W-7-F","Diodes Incorporated"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_8.4mm_M8","~","",""
"J2,J7","2","Conn_01x20_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","~","M20-7832046","Harwin"
"J5","1","~","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PTSM-0,5-3-2,5-V-SMD_1x03-1MP_P2.50mm_Vertical","~","1701085","Phoenix Contact"
"J6","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PTSM-0,5-2-2,5-V-SMD_1x02-1MP_P2.50mm_Vertical","~","1701084","Phoenix Contact"
"L1","1","47 μH","","","","Inductor_SMD:L_Neosid_Ms85","~","ETQ-P4M470KFN","Panasonic Industry"
"M1","1","Motor_Servo","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://forums.parallax.com/uploads/attachments/46831/74481.png","61300311121","Würth Elektronik"
"M2","1","Motor_DC","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","61300221121","Würth Elektronik"
"Q1","1","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","IRLZ44NPBF","Infineon Technologies"
"R1,R2,R10","3","330 R","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW0805330RJNEA","Vishay"
"R5","1","1.00kΩ","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K00JNEA","Vishay"
"R6","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~","AS12J1001ET","Ohmite"
"R7","1","330Ω","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW1218330RFKEK","Vishay"
"RV1","1","10kΩ","","","","Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical","~","RV4NAYSD103A","ETI Systems"
"SW1","1","SW_SPST","","","","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile","~","209-1MS","CTS Corporation"
"U1","1","L298N","","","","Package_TO_SOT_THT:TO-220-15_P2.54x5.08mm_StaggerOdd_Lead4.58mm_Vertical","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf","L298N","STMicroelectronics"
"U2","1","LM78M05_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/MC78M00-D.PDF","LM78M05CT/NOPB","Texas Instruments"
"U4","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","926-LM2596S-5.0/NOPB","Texas Instruments"
